"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-11596890","102822-Mo-Su","102822-333","Abobo Doumé","","1","","102822-11596889","0","0"
"102822-11597012","102822-Mo-Su","102822-334","Houphouet-Boigny","","0","","102822-11597011","0","0"
"102822-11597012","102822-Mo-Su","102822-335","Lycée Moderne d'Abobo","","1","","102822-11597010","0","0"
"102822-11597021","102822-Mo-Su","102822-336","Mossikro","","0","","102822-11597019","0","0"
"102822-11597021","102822-Mo-Su","102822-337","Abobo Doumé Santé","","1","","102822-11597020","0","0"
"102822-11597137","102822-Mo-Su","102822-338","BC Carrefour Niamkey","","0","","102822-11597136","0","0"
"102822-11597137","102822-Mo-Su","102822-339","Abobo Gendarmerie","","1","","102822-11597122","0","0"
"102822-10406547","102822-Mo-Su","102822-34","Yopougon Niangon Terminus 27","","0","","102822-10406545","0","0"
"102822-11597169","102822-Mo-Su","102822-340","Bc","","0","","102822-11597168","0","0"
"102822-11597169","102822-Mo-Su","102822-341","Abobo Gendarmerie","","1","","102822-11597167","0","0"
"102822-11597201","102822-Mo-Su","102822-342","Habitat grace","","0","","102822-11597200","0","0"
"102822-11597201","102822-Mo-Su","102822-343","Abobo Marché","","1","","102822-11597199","0","0"
"102822-11597456","102822-Mo-Su","102822-344","Abobo Marché","","0","","102822-13536841","0","0"
"102822-11597456","102822-Mo-Su","102822-345","Abobo Baoulé","","1","","102822-11597455","0","0"
"102822-11600234","102822-Mo-Su","102822-346","Houphouet-Boigny","","0","","102822-11600233","0","0"
"102822-11600234","102822-Mo-Su","102822-347","Abobo Gendarmerie","","1","","102822-11600232","0","0"
"102822-11600299","102822-Mo-Su","102822-348","Abobo Baoulé","","0","","102822-11600298","0","0"
"102822-11600299","102822-Mo-Su","102822-349","Abobo Samaké","","1","","102822-11600297","0","0"
"102822-10406547","102822-Mo-Su","102822-35","Adjamé Liberté","","1","","102822-10406546","0","0"
"102822-11600482","102822-Mo-Su","102822-350","Mosquée Ado","","0","","102822-11600481","0","0"
"102822-11600482","102822-Mo-Su","102822-351","Carrefour Kennedy","","1","","102822-11600480","0","0"
"102822-11600997","102822-Mo-Su","102822-352","Adjamé Liberté","","0","","102822-11600995","0","0"
"102822-11600997","102822-Mo-Su","102822-353","Abobo Gare Mairie","","1","","102822-11600996","0","0"
"102822-11604247","102822-Mo-Su","102822-354","Biabou","","0","","102822-11604246","0","0"
"102822-11604247","102822-Mo-Su","102822-355","Abobo Samaké","","1","","102822-11604245","0","0"
